CLUB,DAY,Day of week,START,END,LINK,LOCATION,NOTE
Sunshine Toastmasters,TUESDAYS,2,6:15 PM,7:45 PM,Zoom: 852 7196 7358,Sunshine Coast,
DIVISION D,TUESDAYS,2,7:00 PM,8:30 PM,"Zoom: 222 456 7777
Password: 113355",Northern BC communities,Joint meeting of several clubs in Northern BC
Positive Thinkers Toastmasters,TUESDAYS,2,7:15 PM,8:30 PM,Zoom: 818 8889 0584,Downtown Vancouver,
Community Impact Speakers (CIS),TUESDAY March 31,2,6:30 PM,9:00 PM,Zoom: 438 363 573,Burnaby,Advanced Club
Community Impact Speakers (CIS),TUESDAY April 21,2,6:30 PM,9:00 PM,Zoom: 504 086 754,Burnaby,Advanced Club
Lincoln,TUESDAYS,2,7:00 PM,9:00 PM,Zoom: 139 687 122,Port Coquitlam,
Crystal Clear Toastmasters,1st & 3rd TUESDAYS,2,7:00 PM,9:00 PM,Zoom: 104-386-160 (1st)        Zoom: 711-564-091 (3rd),Coquitlam,
Vancouver Speakers and Leaders (VSL),TUESDAYS,2,7:00 PM,9:00 PM,Zoom: 165 240 664,Downtown Vancouver,
Vancouver Gavel Club (Kerrisdale),TUESDAYS,2,7:00 PM,9:00 PM,Zoom: 818 0666 2182,Kerrisdale (Vancouver),Gavel Club
Golden Ears Toastmasters,TUESDAYS,2,7:30 PM,9:30 PM,Zoom: 517 285 747,Maple Ridge,
Northern Voices Toastmasters,WEDNESDAYS,3,7:00 AM,8:00 AM,Zoom: 593 550 184,Whitehorse,
Down to Business,WEDNESDAYS,3,9:00 AM,10:30 AM,Zoom: 694 600 482,Port Coquitlam,"Please email Sally at sally@ultimateexposurephotography.com
for meeting password."
City Hall Connaught Toastmasters,WEDNESDAYS,3,12:00 PM,1:00 PM,Zoom: 735 050 231,City Hall (Vancouver),
Declarations Toastmasters,WEDNESDAYS,3,12:00 PM,1:00 PM,Zoom: 835 651 507,Downtown Vancouver,Please email Kim at krdickie@hotmail.com for meeting details.
Burnaby Toasters,WEDNESDAYS,3,12:00 PM,1:00 PM,"Zoom: 977 1742 0348
Password: Burnaby123",Burnaby,
Cloverleaf,WEDNESDAYS,3,12:00 PM,1:30 PM,Zoom: 138 921 089,Vancouver, 
Vancore Toastmasters,WEDNESDAYS,3,3:30 PM,4:45 PM,See note,Downtown Vancouver,Guests register here for login: www.bit.ly/vancoreonlineguest
Royal T,WEDNESDAYS,3,5:45 PM,6:45 PM,email info@royaltclub.org for details,Downtown Vancouver,
Burrard Toastmasters,WEDNESDAYS,3,6:00 PM,8:00 PM,"Zoom: 273 453 225
Password: Ap9dnf3",Downtown Vancouver,
DIVISION D,WEDNESDAYS,3,6:00 PM,8:30 PM,Zoom: 222 456 7777,Northern BC communities,Joint meeting of several clubs in Northern BC
Mountain Spirit Toastmasters,WEDNESDAYS,3,6:15 PM,8:15 PM,Zoom: 952 4480 4560,Whistler,(Password: 802719)
Burnaby Entrepreneurs Toastmasters,WEDNESDAYS,3,6:30 PM,8:30 PM,Zoom: 868 288 532,Burnaby,
Go to: speakeasytm.ca ,WEDNESDAYS,3,6:30 PM,8:30 PM,Zoom: 959 7013 4591,Burnaby,
Burnaby Mountain Toastmasters (SFU),WEDNESDAYS,3,6:30 PM,8:30 PM,Zoom: 364 481 674,Burnaby (SFU campus),
Vancouver Gavel Club (UBC),WEDNESDAYS,3,6:30 PM,8:30 PM,Zoom: 880 2145 5688,Point Grey (UBC),Gavel Club
Williams Lake Toastmasters,WEDNESDAYS,3,7:00 PM,8:30 PM,Zoom: 861 3123 2247,Williams Lake,
Walter Gage Toastmasters (UBC),WEDNESDAYS,3,7:00 PM,9:00 PM,Zoom: 884 9355 7355,Point Grey (UBC),
Vancouver Entrepreneurs Toastmasters,WEDNESDAYS,3,7:00 PM,9:00 PM,Zoom: 861 7943 6593,Downtown Vancouver,
Centennial Toastmasters,WEDNESDAYS (every 2 weeks),3,7:00 PM,9:00 PM,"Zoom: 814 211 258
Password: T0@st01",Vancouver,Meets every 2 weeks starting from June 3rd
Downtown Coquitlam,WEDNESDAYS,3,7:00 PM,9:00 PM,Zoom 946 672 502,Coquitlam,
Golden Speakers,WEDNESDAYS,3,7:00 PM,9:00 PM,Zoom: 953 219 980,Burnaby,
Positively Speaking,WEDNESDAYS,3,7:30 PM,9:00 PM,Zoom: 261 834 026,Maple Ridge,
Seymour Speakers,THURSDAYS,4,7:30 AM,8:50 AM,Zoom: 363 078 531,Downtown Vancouver,Early-bird meetings! 
Sundogs Toastmasters,THURSDAYS,4,12:00 PM,1:00 PM,"Zoom: 802 383 589
Password: 898927",Whitehorse,https://www.facebook.com/events/883703392051320/
Absolutely Toasted,THURSDAYS,4,12:00 PM,1:00 PM,Zoom: 285 387 137,Downtown Vancouver,open corporate club
SNC Lavalin Vancouver,THURSDAYS,4,12:00 PM,1:00 PM,Microsoft Teams meeting,Downtown Vancouver,reach us via easy-speak: https://easy-speak.org/portal.php?page=1&c=6623
DIVISION D,THURSDAYS,4,12:00 PM,1:00 PM,"Zoom: 222 456 7777
Password: 113355",Northern BC communities,Joint meeting of several clubs in Northern BC
TELUS Gardeners,THURSDAYS,4,12:00 PM,1:30 PM,Zoom: 873 7744 8859,Downtown Vancouver,
Best Run Toastmasters,THURSDAYS,4,3:00 PM,4:00 PM,Zoom: 622 014 958,Vancouver,
Pacific Spirit Toastmasters,THURSDAYS,4,5:30 PM,7:30 PM,Zoom: 550 369 317,Downtown Vancouver,
Vancouver Mandarin Learners Toastmasters ,THURSDAYS,4,6:00 PM,8:00 PM,Zoom: 472 668 091,Downtown Vancouver,the meeting is held in Mandarin Chinese
Metro Speakers Toastmasters,THURSDAYS,4,7:00 PM,9:00 PM,Zoom: 896 940 001,Burnaby,
PMI Vancouver Toastmasters,THURSDAYS,4,6:30 PM,8:30 PM,Zoom: 885 479 511,Burnaby,
Kerrisdale Toastmasters,THURSDAYS,4,6:50 PM,9:00 PM,Zoom: 897 3158 6398,Kerrisdale (Vancouver),
Spoken Word Toastmasters Club,THURSDAYS,4,7:00 PM,8:30 PM,Zoom: 284 284 973,Burnaby,"(Christian friendly club)Please contact us below for the password:
Website: https://spokenword.toastmastersclubs.org/
Meetup: https://www.meetup.com/spokenwordmetrotown/"
Night Vision,THURSDAYS,4,7:00 PM,9:00 PM,Zoom: 953 7935 1487,South Granville (Vancouver),Email for password: jennyjinqian@yahoo.com
City of the Arts,THURSDAYS,4,7:00 PM,9:00 PM,Zoom: 942 769 024,Port Moody,
Vancouver Gavel Club (Killarney),THURSDAYS,4,7:00 PM,9:00 PM,"Zoom: 853 0539 0495
Password: 024283",Killarney (Vancouver),Gavel Club
Advanced Aurators,1st THURSDAYS OF MONTH,4,7:00 PM,9:00 PM,Zoom: 766 277 0430,Downtown Vancouver,Advanced Club - all welcome!
Blue Heron,THURSDAYS,4,7:30 PM,9:30 PM,See note,Pitt Meadows,"Guests, please email findingup@gmail.com to join meeting"
Telespeakers,FRIDAYS,5,7:30 AM,9:00 AM,Zoom: 128 754 549,Burnaby,
Speechless Toastmasters,FRIDAYS (every 2 weeks),5,12:00 PM,1:00 PM,Zoom: 873 564 178,Downtown Vancouver,Meets every 2 weeks starting from June 5th 
Franco Fun! Toastmasters,FRIDAYS,5,6:00 PM,8:00 PM,Zoom: 372-202-323,South Granville (Vancouver),This is an all French club in formation.
Advanced Speakers Club (ASK),4th FRIDAY,5,6:45 PM,9:00 PM,Zoom:288569412,Varies,Advanced Club - all welcome!
Speak Your Mind,1st FRIDAYS,5,7:00 PM,9:00 PM,Zoom: 721 182 385,Downtown Vancouver,Advanced Club - all welcome!
Top Story Advanced,2nd FRIDAYS,5,7:00 PM,9:00 PM,Zoom: 379 947 014,Port Coquitlam,Advanced Club - all welcome!
Just Pros Toastmasters ,1st & 3rd SATURDAYS,6,8:30 AM,11:30 AM,email justprostm@gmail.com,New Westminster,"Advanced Club: Yes, it is a long meeting!"
Fyrebyrde Toastmasters,SATURDAYS,6,9:00 AM,11:00 AM,Zoom: 533 742 652,Vancouver,
